iyear,region,region_txt,city,crit1,crit2,crit3,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,nkill,nwound
2004,6,South Asia,Jalalabad,1,1,1,3,Bombing/Explosion,12,NGO,6,Explosives,2.0,13.0
2004,6,South Asia,Jalalabad,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,16.0,0.0
2004,6,South Asia,Qalat,1,1,1,2,Armed Assault,7,Government (Diplomatic),5,Firearms,1.0,3.0
2004,6,South Asia,Kandahar,1,1,1,1,Assassination,3,Police,6,Explosives,0.0,0.0
2004,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,0.0
2004,6,South Asia,Bila Khel,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,6.0,7.0
2004,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,0.0,0.0
2004,6,South Asia,Khan Shine,1,1,1,1,Assassination,2,Government (General),5,Firearms,5.0,2.0
2004,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,7.0
2004,6,South Asia,Maruf,1,1,1,1,Assassination,14,Private Citizens & Property,5,Firearms,2.0,1.0
2004,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,0.0,0.0
2004,6,South Asia,Puli Alam,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,2.0,0.0
2004,6,South Asia,Unknown,1,1,1,2,Armed Assault,7,Government (Diplomatic),5,Firearms,0.0,3.0
2004,6,South Asia,Faizabad,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,1.0,5.0
2004,6,South Asia,Tarin Kot,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,2.0
2004,6,South Asia,Sarabzel,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,3.0,2.0
2004,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,5.0,0.0
2004,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3.0,9.0
2004,6,South Asia,Shewan,1,1,1,2,Armed Assault,3,Police,5,Firearms,2.0,1.0
2005,6,South Asia,Sar Marda,1,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,0.0,3.0
2005,6,South Asia,Spin Boldak district,1,1,1,3,Bombing/Explosion,1,Business,6,Explosives,1.0,1.0
2005,6,South Asia,Char Chinah,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,4.0,0.0
2005,6,South Asia,Unknown,1,1,1,2,Armed Assault,3,Police,5,Firearms,2.0,1.0
2005,6,South Asia,Kabul,1,1,1,2,Armed Assault,12,NGO,5,Firearms,1.0,0.0
2005,6,South Asia,Khost,1,1,1,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,0.0,0.0
2005,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,1.0
2005,6,South Asia,Panjwayi,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,5.0,32.0
2005,6,South Asia,Asadabad,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,0.0
2005,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,2.0,0.0
2005,6,South Asia,Kundar,1,1,1,1,Assassination,14,Private Citizens & Property,5,Firearms,2.0,0.0
2005,6,South Asia,Kandahar,1,1,1,1,Assassination,15,Religious Figures/Institutions,5,Firearms,1.0,0.0
2005,6,South Asia,Lashkar Gah,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,1.0,2.0
2005,6,South Asia,Maywand district,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,1.0,1.0
2005,6,South Asia,Unknown,1,1,1,7,Facility/Infrastructure Attack,1,Business,8,Incendiary,0.0,0.0
2005,6,South Asia,Yaqubi,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,2.0,0.0
2005,6,South Asia,Dand,1,1,1,2,Armed Assault,15,Religious Figures/Institutions,5,Firearms,1.0,0.0
2005,6,South Asia,Ghazni,1,1,1,3,Bombing/Explosion,1,Business,6,Explosives,2.0,2.0
2005,6,South Asia,Reg district,1,1,1,6,Hostage Taking (Kidnapping),3,Police,5,Firearms,2.0,0.0
2005,6,South Asia,Disho district,1,1,1,2,Armed Assault,3,Police,5,Firearms,0.0,17.0
2005,6,South Asia,Sharan,1,1,1,1,Assassination,15,Religious Figures/Institutions,5,Firearms,2.0,0.0
2005,6,South Asia,Disho district,1,1,1,2,Armed Assault,3,Police,5,Firearms,10.0,3.0
2005,6,South Asia,Safian,1,1,1,1,Assassination,15,Religious Figures/Institutions,5,Firearms,1.0,0.0
2005,6,South Asia,Unknown,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,2.0,0.0
2005,6,South Asia,Panjwayi,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2005,6,South Asia,Mullah Masaud,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,1.0,1.0
2005,6,South Asia,Khost,1,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,0.0,1.0
2005,6,South Asia,Arghistan district,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,3.0,1.0
2005,6,South Asia,Sharan,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,1.0,3.0
2005,6,South Asia,Charchino district,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,3.0,3.0
2005,6,South Asia,Anar Shela,1,1,1,2,Armed Assault,3,Police,5,Firearms,0.0,3.0
2005,6,South Asia,Lashkar Gah,1,1,1,2,Armed Assault,2,Government (General),5,Firearms,1.0,0.0
2005,6,South Asia,Unknown,1,1,1,2,Armed Assault,14,Private Citizens & Property,9,Melee,3.0,0.0
2005,6,South Asia,Daychopan district,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2005,6,South Asia,Marja,1,1,1,1,Assassination,15,Religious Figures/Institutions,5,Firearms,1.0,0.0
2005,6,South Asia,Mazu,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,1.0,1.0
2005,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,4.0
2005,6,South Asia,Nazar Kheil,1,1,1,2,Armed Assault,3,Police,5,Firearms,2.0,0.0
2005,6,South Asia,Botakhel,1,1,1,2,Armed Assault,14,Private Citizens & Property,5,Firearms,1.0,1.0
2005,6,South Asia,Panjwai district,1,1,1,1,Assassination,15,Religious Figures/Institutions,5,Firearms,2.0,0.0
2005,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,2.0
2005,6,South Asia,Alingar district,1,1,1,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,0.0,0.0
2005,6,South Asia,Lashkar Gah,1,1,1,1,Assassination,2,Government (General),5,Firearms,2.0,0.0
2005,6,South Asia,Tarin Kot,1,1,1,1,Assassination,14,Private Citizens & Property,5,Firearms,1.0,2.0
2005,6,South Asia,Gereshk,1,1,1,1,Assassination,15,Religious Figures/Institutions,9,Melee,1.0,0.0
2005,6,South Asia,Unknown,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,7.0,0.0
2005,6,South Asia,Dara-e Darweshan,1,1,1,1,Assassination,15,Religious Figures/Institutions,9,Melee,1.0,0.0
2005,6,South Asia,Kabul,1,1,1,2,Armed Assault,3,Police,5,Firearms,3.0,2.0
2005,6,South Asia,Jalalabad,1,1,1,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,0.0,0.0
2005,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,1.0
2005,6,South Asia,Miran Shah,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,0.0,0.0
2005,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,1.0,4.0
2005,6,South Asia,Kandahar,1,1,1,1,Assassination,17,Terrorists/Non-State Militia,6,Explosives,5.0,5.0
2005,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,1.0,0.0
2005,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,2.0
2005,6,South Asia,Unknown,1,1,1,1,Assassination,2,Government (General),5,Firearms,4.0,0.0
